code;label-fr_FR;label-en_US;attribute;sort_order
N;16 à 32°C;N;climate_class;1
SN;10 à 32°C;SN;climate_class;1
SN_ST;10 à 38°C;SN-ST;climate_class;1
SN_T;10 et 43°C;SN-T;climate_class;1
ST;16 à 38°C;ST;climate_class;1
T;16 et 43°C;T;climate_class;1
auto;automatique;auto;defrosting;1
manual;manuel;manual;defrosting;1
semi_auto;semi-automatique;semi_auto;defrosting;1
multi;Multifonctions;multi;cooking_mode;1
pyrolysis;pyrolyse;pyrolysis;oven_cleaning;1
manual;manuel;manual;oven_cleaning;1
catalysis;catalyse;catalysis;oven_cleaning;1
hydrolysis;hydrolyse;hydrolysis;oven_cleaning;1
scaling;détartrage;scaling;oven_cleaning;1
top;haut;top;freezer_position;1
down;bas;down;freezer_position;1
top;top;top;loading_type;1
door;hublot;door;loading_type;1
static;Statique;static;cold_type;1
air_mix;brassé;air_mix;cold_type;1
ventilated;ventillé;ventilated;cold_type;1
tempered;tempérée;tempered;door_type;1
cold;froide;cold;door_type;1
ventilated;ventillée;ventilated;door_type;1
sliding;coulissante;sliding;door_opening_type;1
retractable;escamotable;retractable;door_opening_type;1
drop_down;abattante;drop_down;door_opening_type;1
integrable;integrable;integrable;type_installation;1
encastrable;encastrable;encastrable;type_installation;1
libre;libre;libre;type_installation;1
condensation;Condensation;condensation;dryer_type;1
evacuation;Evacuation;evacuation;dryer_type;1
heat_pump;Pompe à chaleur;heat_pump;dryer_type;1
A;A;A;energy_class;1
B;B;B;energy_class;2
C;C;C;energy_class;3
D;D;D;energy_class;4
E;E;E;energy_class;5
F;F;F;energy_class;6
G;G;G;energy_class;7
anthracite;Anthracite;anthracite;main_color;1
silver;Argent;silver;main_color;1
white;Blanc;white;main_color;1
grey;Gris;grey;main_color;1
inox;Inox;inox;main_color;1
lacquer;Laqué;lacquer;main_color;1
black;Noir;black;main_color;1
red;Rouge;red;main_color;1
ADLER;ADLER;ADLER;brand;1
ADVISEN;ADVISEN;ADVISEN;brand;1
AEG;AEG;AEG;brand;1
AEOTEC;AEOTEC;AEOTEC;brand;1
AILORIA;AILORIA;AILORIA;brand;1
AIR_AND_ME;AIR AND ME;AIR AND ME;brand;1
AIR_ET_SANTE;AIR ET SANTE;AIR ET SANTE;brand;1
AIRVIA_MEDICAL;AIRVIA MEDICAL;AIRVIA MEDICAL;brand;1
ALECTO;ALECTO;ALECTO;brand;1
ALESSI;ALESSI;ALESSI;brand;1
ALICE_S_GARDEN;ALICE'S GARDEN;ALICE'S GARDEN;brand;1
ALUVY;ALUVY;ALUVY;brand;1
AMIBOT;AMIBOT;AMIBOT;brand;1
AMSTA;AMSTA;AMSTA;brand;1
ANGEL;ANGEL;ANGEL;brand;1
ARCHOS;ARCHOS;ARCHOS;brand;1
ARIETE;ARIETE;ARIETE;brand;1
ASKO;ASKO;ASKO;brand;1
ASTORIA;ASTORIA;ASTORIA;brand;1
BABYLISS;BABYLISS;BABYLISS;brand;1
BABYMOOV;BABYMOOV;BABYMOOV;brand;1
BAMIX;BAMIX;BAMIX;brand;1
BARBECOOK;BARBECOOK;BARBECOOK;brand;1
BE_YOU;BE YOU;BE YOU;brand;1
BEABA;BEABA;BEABA;brand;1
BECKER;BECKER;BECKER;brand;1
BEER_UP;BEER UP;BEER UP;brand;1
BELLISSIMA;BELLISSIMA;BELLISSIMA;brand;1
BERNETTE_BY_BERNINA;BERNETTE BY BERNINA;BERNETTE BY BERNINA;brand;1
BERNINA;BERNINA;BERNINA;brand;1
BEST_OF_TV;BEST OF TV;BEST OF TV;brand;1
BESTHERM;BESTHERM;BESTHERM;brand;1
BESTRON;BESTRON;BESTRON;brand;1
BEURER;BEURER;BEURER;brand;1
BIG_GREEN_EGG;BIG GREEN EGG;BIG GREEN EGG;brand;1
BIOCHEF;BIOCHEF;BIOCHEF;brand;1
BISSELL;BISSELL;BISSELL;brand;1
BLACK_DECKER;BLACK & DECKER;BLACK & DECKER;brand;1
BLUEAIR;BLUEAIR;BLUEAIR;brand;1
BOMANN;BOMANN;BOMANN;brand;1
BONECO;BONECO;BONECO;brand;1
BRANDT;BRANDT;BRANDT;brand;1
BRAUN;BRAUN;BRAUN;brand;1
BREVILLE;BREVILLE;BREVILLE;brand;1
BRITA;BRITA;BRITA;brand;1
BROTHER;BROTHER;BROTHER;brand;1
BUKI;BUKI;BUKI;brand;1
CALOR;CALOR;CALOR;brand;1
CAMPINGAZ;CAMPINGAZ;CAMPINGAZ;brand;1
CHEMIN_ARTE;CHEMIN ARTE;CHEMIN ARTE;brand;1
CLATRONIC;CLATRONIC;CLATRONIC;brand;1
CONCORDE;CONCORDE;CONCORDE;brand;1
COOK_IN_GARDEN;COOK'IN GARDEN;COOK'IN GARDEN;brand;1
COSORI;COSORI;COSORI;brand;1
COSYLIFE;COSYLIFE;COSYLIFE;brand;1
CROCK_POT;CROCK POT;CROCK POT;brand;1
CUISINART;CUISINART;CUISINART;brand;1
DE_DIETRICH;DE DIETRICH;DE DIETRICH;brand;1
DEERMA;DEERMA;DEERMA;brand;1
DELONGHI;DELONGHI;DELONGHI;brand;1
DELTA_DORE;DELTA DORE;DELTA DORE;brand;1
DIRT_DEVIL;DIRT DEVIL;DIRT DEVIL;brand;1
DJIVE;DJIVE;DJIVE;brand;1
DOMO;DOMO;DOMO;brand;1
DREAME;DREAME;DREAME;brand;1
DREXON;DREXON;DREXON;brand;1
DUUX;DUUX;DUUX;brand;1
DYSON;DYSON;DYSON;brand;1
E_ZICOM;E.ZICOM;E.ZICOM;brand;1
ECODROP;ECODROP;ECODROP;brand;1
ECOVACS;ECOVACS;ECOVACS;brand;1
ELNA;ELNA;ELNA;brand;1
EMMIDENT;EMMIDENT;EMMIDENT;brand;1
ENO;ENO;ENO;brand;1
EPILADY;EPILADY;EPILADY;brand;1
EUFY;EUFY;EUFY;brand;1
EUROFLEX;EUROFLEX;EUROFLEX;brand;1
EVATRONIC;EVATRONIC;EVATRONIC;brand;1
EVE;EVE;EVE;brand;1
EWT;EWT;EWT;brand;1
EXCELINE;EXCELINE;EXCELINE;brand;1
