code;label-fr_FR;label-en_US;allowed_extensions;auto_option_sorting;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;metric_family;default_value;type;group;localizable;max_characters;max_file_size;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
sku;Identifiant;SKU;;;;;;;;;;pim_catalog_identifier;general;0;;;;;;;;0;1;1;1;;;
capacity_bottle;Capacité (En Bouteille De75Cl);Capacity (In 75Cl Bottle);;;;;;1;LITER;Volume;;pim_catalog_metric;technical_characteristic;0;;;;0;;;;0;1;0;0;;;
capacity_kg;Capacité (Kg);Capacity (Kg);;;;;;1;KILOGRAM;Weight;;pim_catalog_metric;technical_characteristic;0;;;;0;;;;0;1;0;0;;;
capacity_liter;Capacité (Litre);Capacity (Liter);;;;;;1;LITER;Volume;;pim_catalog_metric;technical_characteristic;0;;;;0;;;;0;1;0;0;;;
capacity_drying;Capacite Séchage;Drying Capacity;;;;;;1;KILOGRAM;Weight;;pim_catalog_metric;technical_characteristic;0;;;;0;;;;0;1;0;0;;;
climate_class;Choix Classe Climatique;Climate Class Choice;;;;;;;;;;pim_catalog_simpleselect;technical_characteristic;0;;;;;;;;0;1;0;0;;;
energy_class;Classe Energetique;Energy Class;;;;;;;;;;pim_catalog_simpleselect;general;0;;;;;;;;0;1;0;0;;;
consumption_water_cycle;Conso Eau Cycle;Consumption Water Cycle;;;;;;1;LITER;Volume;;pim_catalog_metric;technical_characteristic;0;;;;0;;;;0;1;0;0;;;
consumption_water_drying_cycle;Conso Eau Sechage Cycle;Consumption Water Drying Cycle;;;;;;1;LITER;Volume;;pim_catalog_metric;technical_characteristic;0;;;;0;;;;0;1;0;0;;;
consumption_energy;Conso Énergie (100 Cycles);Energy Consumption (100 Cycles);;;;;;0;WATT;Power;;pim_catalog_metric;technical_characteristic;0;;;;0;;;;0;1;0;0;;;
consumption_energy_annual;Consomation Annuelle D'Énergie;Annual Energy Consumption;;;;;;0;WATT;Power;;pim_catalog_metric;technical_characteristic;0;;;;0;;;;0;1;0;0;;;
main_color;Couleur Principale;Main Color;;;;;;;;;;pim_catalog_simpleselect;general;0;;;;;;;;0;1;0;0;;;
release_date;Date Sortie;Release date;;;;;;;;;;pim_catalog_date;general;0;;;;;;;;0;1;0;0;;;
defrosting;Degivrage;Defrosting;;;;;;;;;;pim_catalog_simpleselect;technical_characteristic;0;;;;;;;;0;1;0;0;;;
departure_end_delayed;Depart Fin Differe;Departure End Delayed;;;;;;;;;;pim_catalog_boolean;technical_characteristic;0;;;;;;;;0;1;0;0;;;
dimension_height;Dimension Hauteur;Dimension Height;;;;;;1;MILLIMETER;Length;;pim_catalog_metric;dimension;0;;;;0;;;;0;1;0;0;;;
dimension_width;Dimension Largeur;Dimension Width;;;;;;1;MILLIMETER;Length;;pim_catalog_metric;dimension;0;;;;0;;;;0;1;0;0;;;
dimension_depth;Dimension Profondeur;Dimension Depth;;;;;;1;MILLIMETER;Length;;pim_catalog_metric;dimension;0;;;;0;;;;0;1;0;0;;;
dimensions;Dimensions (H X L X P);Dimensions (H x W x D);;;;;;;;;;pim_catalog_text;dimension;0;;;;;;;;0;1;0;0;;;
built_in_dimensions;Dimensions D'Encastrement (H X L X P);Built-in Dimensions (H x W x D);;;;;;;;;;pim_catalog_text;technical_characteristic;0;;;;;;;;0;1;0;0;;;
water_dispenser;Distributeur Eau;Water Dispenser;;;;;;;;;;pim_catalog_boolean;technical_characteristic;0;;;;;;;;0;1;0;0;;;
ean;Ean;Ean;;;;;;;;;;pim_catalog_text;general;0;;;;;;;;0;1;1;0;;;
grill;Grill;Grill;;;;;;;;;;pim_catalog_boolean;technical_characteristic;0;;;;;;;;0;1;0;0;;;
time_remaining_indicator;Indicateur Temps Restant;Time Remaining Indicator;;;;;;;;;;pim_catalog_boolean;technical_characteristic;0;;;;;;;;0;1;0;0;;;
integrated_light;Lumiére Intégrée;Integrated Light;;;;;;;;;;pim_catalog_boolean;technical_characteristic;0;;;;;;;;0;1;0;1;;;
brand;Marque;Brand;;;;;;;;;;pim_catalog_simpleselect;general;0;;;;;;;;0;1;0;0;;;
timer;Minuterie;Timer;;;;;;0;MINUTE;Duration;;pim_catalog_metric;technical_characteristic;0;;;;0;;;;0;1;0;0;;;
cooking_mode;Mode Cuisson;Cooking mode;;;;;;;;;;pim_catalog_simpleselect;technical_characteristic;0;;;;;;;;0;1;0;0;;;
